Population;Fish ID;Replicat;Fish Weight (g);Fish Standard length (cm);Time for shelter test (h);Temperature for shelter test (°C);Time for new env test (h);Temperature for new env test (°C);Cumulative duration in shelter (s);Total distance moved (cm)
Long Key;LK26;1;0,13;1,988;14:48;34,4;18:30;33,8;116,56;2366,93
Long Key;LK34;1;0,213;2,313;15:52;35,8;19:06;33,3;181,2;2614,48
Long Key;LK29;1;0,212;2,401;16:38;35,3;20:05;32,4;333,12;2187,2
Long Key;LK11;1;0,25;2,507;08:30;31,3;18:30;33,7;80,48;2417,26
Long Key;LK9;1;0,197;2,262;09:18;31,5;19:05;33,7;572,16;1895,06
Long Key;LK15;1;0,3;2,621;10:07;31,9;19:43;32,8;773,32;1159,7
Long Key;LK10;1;0,231;2,446;10:55;32,8;20:10;32,8;601,16;1885,07
Long Key;LK21;1;0,287;2,629;11:44;32,3;20:43;32,5;627,64;1431,78
Long Key;LK12;1;0,303;2,618;12:30;33,5;21:15;31,5;364,36;2272,1
Long Key;LK25;1;0,276;2,423;14:00;34,4;17:58;33,6;702,68;1459,53
Long Key;LK30;1;0,448;2,945;14:48;34,7;18:30;33,7;569,68;728,518
Long Key;LK31;1;0,23;2,401;15:52;35,5;19:35;32,9;493,6;1548,76
Long Key;LK32;1;0,161;2,092;16:38;35,0;20:05;32,4;760,36;870,089
Long Key;LK7;2;0,361;2,789;06:53;30,0;14:08;34,2;248,64;1749,58
Long Key;LK1;2;0,388;2,853;07:43;29,7;14:43;35,3;520,64;1354,43
Long Key;LK5;2;0,321;2,763;08:32;30,5;15:15;35,2;101,08;1821,22
Long Key;LK6;2;0,348;2,831;09:23;31,5;15:47;35,3;488,56;1806,63
Long Key;LK20;2;0,23;2,406;10:13;31,6;16:18;34,6;328,28;2422,83
Long Key;LK8;2;0,246;2,449;11:00;32,1;16:49;34,2;134;2288,63
Long Key;LK24;2;0,285;2,546;09:15;28,2;16:07;32,6;258,72;2040,28
Long Key;LK26;2;0,13;1,988;10:02;30,1;16:40;33,3;86,96;2244,48
Long Key;LK34;2;0,213;2,313;10:50;31,0;17:13;34,0;157,88;2064,43
Long Key;LK29;2;0,212;2,401;11:40;31,7;17:46;34,2;6,16;2376,87
Long Key;LK19;2;0,434;2,951;06:53;29,8;14:08;34,1;161,28;2344,13
Long Key;LK14;2;0,303;2,668;07:43;29,7;14:43;34,4;7,16;2004,85
Long Key;LK16;2;0,225;2,38;08:32;30,2;15:15;35,1;567,56;1524,65
Long Key;LK18;2;0,26;2,454;09:23;31,1;15:47;35,2;782,2;1120,9
Long Key;LK22;2;0,298;2,625;10:13;31,8;16:18;34,3;602,24;1413,25
Long Key;LK13;2;0,547;3,163;11:00;32,0;16:49;34,2;217,56;1993,78
Long Key;LK27;2;0,197;2,22;09:15;28,0;16:07;32,9;609,64;1091,82
Long Key;LK33;2;0,748;3,512;10:02;30,1;16:40;32,8;94,32;3798,83
Long Key;LK35;2;0,303;2,688;10:50;30,6;17:13;33,9;125,24;2887,14
Long Key;LK36;2;0,25;2,424;11:40;31,4;17:46;33,9;438,32;2311,07
Long Key;LK11;2;0,25;2,507;06:53;29,8;14:08;34,2;2,08;1220,06
Long Key;LK9;2;0,197;2,262;07:43;29,6;14:43;35,0;192,76;2210,67
Long Key;LK15;2;0,3;2,621;08:32;29,9;15:15;35,0;816,28;1340,09
Long Key;LK10;2;0,231;2,446;09:23;31,2;15:47;35,2;192,56;2604,51
Long Key;LK21;2;0,287;2,629;10:13;31,7;16:18;34,4;894,28;778,487
Long Key;LK12;2;0,303;2,618;11:00;32,0;16:49;34,2;658,04;1719,05
Long Key;LK25;2;0,276;2,423;09:15;29,5;16:07;32,7;55,2;2830,79
Long Key;LK30;2;0,448;2,945;10:02;30,1;16:40;33,3;400,28;2044,72
Long Key;LK31;2;0,23;2,401;10:50;30,7;17:13;33,8;308,76;1924,31
Long Key;LK32;2;0,161;2,092;11:40;31,4;17:46;34,1;221,6;2187,6
Twin Cayes;PG3-2;1;0,193;2,187;12:05;29,3;21:16;29,8;296,753;985,918
Twin Cayes;PG3-3;1;0,185;2,228;08:43;28,9;18:00;30,3;609,425;1300,7
Twin Cayes;PG3-5;1;0,147;1,992;11:35;28,8;20:38;29,8;124,677;539,852
Twin Cayes;PG3-8;1;0,244;2,343;08:43;28,9;18:00;30,2;120,397;1760,73
Twin Cayes;PG3-10;1;0,263;2,447;10:18;28,9;20:00;29,4;204,115;1666,41
Twin Cayes;PG3-12;1;1,067;4,036;09:30;29;18:00;30,3;584,825;461,004
Twin Cayes;PG3-13;1;0,285;2,542;10:18;28,9;20:00;29,4;519,227;341,564
Twin Cayes;PG3-17;1;0,415;2,903;09:30;29;20:00;29,2;423,029;1205,58
Twin Cayes;PG4-3;1;0,213;2,288;11:35;28,9;21:16;29,9;1064,77;232,066
Twin Cayes;PG4-7;1;0,239;2,406;12:05;29,3;21:16;30;288,633;879,886
Twin Cayes;PG4-8;1;0,393;2,868;10:55;28,9;20:38;29,9;74,2781;1740,2
Twin Cayes;PG4-9;1;0,18;2,225;10:55;28,7;20:38;30;471,188;1488,13
Twin Cayes;PG4-31;1;0,309;2,608;13:00;30,8;18:07;30,3;427,509;1589,96
Twin Cayes;PG4-32;1;0,328;2,547;13:55;31,2;20:00;29,8;662,103;765,033
Twin Cayes;PG4-33;1;0,243;2,35;15:30;31,1;20:36;29,8;277,353;1509,7
Twin Cayes;PG4-41;1;0,42;2,84;12:00;30,4;18:07;29,7;785,02;827,006
Twin Cayes;PG4-51;1;0,406;2,845;14:40;31,9;20:00;29,5;826,019;502,598
Twin Cayes;PG4-52;1;0,378;2,794;14:40;32;20:36;29,8;994,695;370,556
Twin Cayes;PG4-53;1;0,658;3,273;09:20;28,7;18:10;29,8;65,9584;2995,27
Twin Cayes;PG4-56;1;0,369;2,744;10:21;29,3;19:30;29;70,3982;2282,68
Twin Cayes;PG4-60;1;0,364;2,747;09:20;28,7;18:10;29,9;246,794;2855,3
Twin Cayes;PG4-62;1;1,115;3,929;10:21;29,3;19:30;29,3;439,869;2260,21
Twin Cayes;PG4-64;1;0,458;2,836;08:27;28,6;17:45;29,8;293,113;1534,17
Twin Cayes;PG4-68;1;0,441;2,913;13:11;30,3;20:02;29,4;217,035;2349,26
Twin Cayes;PG4-76;1;0,405;2,807;08:27;28,6;17:45;30;500,267;1117
Twin Cayes;PG4-101;1;0,366;2,715;11:37;29,8;20:30;29;242,04;104,975
Twin Cayes;PG4-113;1;0,471;2,946;12:05;29,9;20:30;29,2;1200,05;23,2809
Twin Cayes;PG5-2;1;0,72;3,513;11:10;30,3;16:17;30,6;316,072;1192,51
Twin Cayes;PG5-3;1;0,194;2,258;11:10;30,2;15:30;31,3;1200,05;0,04269
Twin Cayes;PG5-4;1;0,333;2,672;08:20;28,6;14:35;31,4;141,596;2638,35
Twin Cayes;PG5-6;1;1,162;4,116;09:25;28,9;15:10;31,1;89,0778;4283,75
Twin Cayes;PG5-14;1;0,605;3,29;08:20;28,5;13:55;29,7;37,1991;3582,53
Twin Cayes;PG5-16;1;0,272;2,525;08:20;28,5;13:55;31,4;372,591;1207,78
Twin Cayes;PG5-21;1;0,166;2,188;10:20;29,6;15:10;31,6;323,672;684,056
Twin Cayes;PG5-23;1;0,329;2,564;09:25;28,8;14:35;31,5;248,994;1766,61
Twin Cayes;PG5-26;1;0,156;2,06;12:00;30,4;16:17;31,1;865,698;129,594
Twin Cayes;PG5-27;1;0,396;2,792;10:20;29,8;15:30;30,9;320,192;1356,5
Twin Cayes;PG5-28;1;0,233;2,476;13:00;30,8;18:07;29,7;149,676;2375,86
Twin Cayes;PG5-31;1;0,377;2,86;13:55;31,1;20:00;29,9;435,589;2022,17
Twin Cayes;PG3-2;2;0,193;2,187;11:55;29,6;19:40;29,5;207,995;1053,49
Twin Cayes;PG3-3;2;0,185;2,228;08:55;28,8;16:50;30,2;203,795;3047,03
Twin Cayes;PG3-5;2;0,147;1,992;11:15;29,2;18:15;30,4;140,196;2651,48
Twin Cayes;PG3-8;2;0,244;2,343;08:10;28,9;16:20;30,5;377,351;1400,02
Twin Cayes;PG3-10;2;0,263;2,447;08:55;28,8;16:50;30,2;51,5587;2519,43
Twin Cayes;PG3-12;2;1,067;4,036;08:10;28,9;16:20;30,8;129,677;2093,2
Twin Cayes;PG3-13;2;0,285;2,542;09:45;28,9;17:15;30,7;288,633;1033,72
Twin Cayes;PG3-17;2;0,415;2,903;09:45;28,8;17:15;30,4;96,5976;2020,13
Twin Cayes;PG4-3;2;0,213;2,288;11:55;29,2;19:40;29,8;444,709;775,513
Twin Cayes;PG4-7;2;0,239;2,406;11:15;29,4;18:15;30,3;178,756;2511,44
Twin Cayes;PG4-8;2;0,393;2,868;10:30;29,2;17:45;30,5;133,437;2589,48
Twin Cayes;PG4-9;2;0,18;2,225;10:30;29,2;17:45;30,5;120,917;2380,52
Twin Cayes;PG4-31;2;0,309;2,608;11:15;30,1;16:15;31;564,466;1543,35
Twin Cayes;PG4-32;2;0,328;2,547;12:00;30,6;16:47;31;954,256;572,725
Twin Cayes;PG4-33;2;0,243;2,35;12:45;31;17:16;30,6;0;13,7774
Twin Cayes;PG4-41;2;0,42;2,84;10:30;29,7;15:45;31,1;438,829;1173,34
Twin Cayes;PG4-51;2;0,406;2,845;12:45;30,9;17:16;30,7;86,6778;2601,32
